title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Gatao Vinho Verde,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/gatao-vinho-verde-204503,$9.25,/content/dam/lcbo/products/204503.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; pretty floral and juicy pear aromas with minerally, citrus and nutty notes; extra dry, medium-plus body yet refreshing; slightly frizzante with biright clean finish.",750 mL bottle,9%,Portugal,Sociedade Dos Vinhos Borges & Irmao,17 g/L,D - Dry,Light & Crisp,Vinho Verde,,,
Baron Herzog Chenin Blanc KPM,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/baron-herzog-chenin-blanc-kpm-206995,$15.20,/content/dam/lcbo/products/206995.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Available at select VINTAGES locations.Nectarine and gooseberry. As an aperitif or with spicier food. Chill.,750 mL bottle,12.5%,"California, USA",Royal Wines,24 g/L,M - Medium,Off-dry & Fruity,Chenin Blanc,"April 3, 2021",,
Pasqua Pinot Grigio Delle Venezie DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/pasqua-pinot-grigio-delle-venezie-doc-213496,$13.80,/content/dam/lcbo/products/213496.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw; the nose offers notes of spice, nuts, mineral, cantaloupe and banana; dry and light to medium bodied with a mellow, yet refreshing finish.",750 mL bottle,12%,"Veneto, Italy",Fratelli Pasqua S.A.S.,8 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
L'Epayrie Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/lepayrie-blanc-214072,$10.75,/content/dam/lcbo/products/214072.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clean, simple and ready to enjoy, this L'Epayrie white is a timeless, uncomplicated customer favourite. The pale yellow colour is followed by light nutty, leesy and savory fruit aromas and flavours of nuts and yellow berries. Light to medium in body with a soft, clean finish.",1000 mL bottle,11%,France,Maison Tarride Ledroit & Cie,9 g/L,D - Dry,Light & Crisp,Blend,,,
Black Tower Rivaner,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/black-tower-rivaner-215012,$12.00$14.50Save $2.50,/content/dam/lcbo/products/215012.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; floral, fragrant pear and peach aromas with citrus and spicy notes; medium sweet with floral fruit and balanced acidity.",1000 mL bottle,9.5%,"Rhine, Germany",Gunther Reh Group,30 g/L,M - Medium,Off-dry & Fruity,Blend,,,
La Chablisienne Les Vénérables Vieilles Vignes Chablis,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/la-chablisienne-les-v%C3%A9n%C3%A9rables-vieilles-vignes-chablis-215525,$27.95,/content/dam/lcbo/products/215525.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Old vines (vieilles vignes) produce less fruit, so the wines are more concentrated and flavourful. This classic, steely, Chablis features aromas of sweet apple, mineral and citrus. Ideal for grilled white fish, as well as oysters on the half shell.",750 mL bottle,12.6%,"Burgundy, France",La Chablisienne C/O Bcb Export,2 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,"April 1, 2021",,
White House Wine Co. Riesling Pinot Grigio VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/white-house-wine-co-riesling-pinot-grigio-vqa-219022,$11.95$13.95Save $2.00,/content/dam/lcbo/products/219022.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale lemon colour; delicate pear, tobacco, fig, herbal and nutmeg aromas; dry, medium body with fresh pear, tobacco and fig flavours.",750 mL bottle,12%,"Ontario, Canada",House Wine Co.,18 g/L,M - Medium,Light & Crisp,Blend,,,
Konzelmann Pinot Blanc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/konzelmann-pinot-blanc-vqa-219279,$14.95,/content/dam/lcbo/products/219279.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Straw yellow; floral, peach & melon fruit aromas; dry, medium-body, with nut, apple & citrus fruit flavours.Pale straw colour; grapefruit, green apple and floral aromas; extra dry, medium body; citrus and apple flavour with balanced acidity and clean lemon finish.",750 mL bottle,13%,"Ontario, Canada",Konzelmann Vineyards Inc.,11 g/L,D - Dry,Light & Crisp,Pinot Blanc,,,
Ruffino Orvieto Classico,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ruffino-orvieto-classico-221499,$23.60,/content/dam/lcbo/products/221499.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; aromas of yellow berries, fresh pastry, citrus with spice and golden raisin notes; dry, light to medium bodied, smooth, clean and fresh palate, shows flavours of yellow berries and fruit, lees and citrus with hints of light spice on the finish.",1500 mL bottle,12%,"Umbria, Italy",Ruffino S.R.L.,12 g/L,D - Dry,Light & Crisp,Blend,,,
Trius Sauvignon Blanc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/trius-sauvignon-blanc-vqa-221804,$15.95,/content/dam/lcbo/products/221804.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; floral, gooseberry and passion fruit aromas with notes of herbs and nuts; extra dry, light-medium body; fresh passion fruit flavour with a long refreshing finish.",750 mL bottle,12.7%,"Ontario, Canada",Andrew Peller Limited,4 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
