title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Feudo Maccari Olli Grillo 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/feudo-maccari-olli-grillo-2019-477877,$15.95,/content/dam/lcbo/products/477877.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromas of sliced pears and lemons. Full body and candied-melon character, as well as a lemon undertone. Drink now. Score - 90. (jamessuckling.com, July 1, 2020)",750 mL bottle,12.5%,"Sicily, Italy",Feudo Maccari Societa Agricola Srl,4 g/L,XD - Extra Dry,Aromatic & Flavourful,Grillo,"November 14, 2020",,
Snapper Rock Sauvignon Blanc 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/snapper-rock-sauvignon-blanc-2018-845297,$15.60,/content/dam/lcbo/products/845297.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This classic Marlborough Sauvignon Blanc introduces a bouquet of nectarine, mango, melon and lime zest to a bright and juicy palate of young fruit. Pass it around with appetizers or serve it alongside chicken or seafood. ",750 mL bottle,12.6%,New Zealand,Snapper Rock Wine Limited Part,,,,Sauvignon Blanc,,,
Maculan Pinot Grigio 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/maculan-pinot-grigio-2017-734921,$15.95,/content/dam/lcbo/products/734921.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Breganze DOC is a small growing area within Veneto, with distinct geographical features that are unlike any other Veneto DOC. The resulting wines are similarly stylistically unique. From a producer of considerable reputation, this PG will suggest yellow plum, yellow cherry, apple and citrus peel, along with a hint of nuts. Always a satisfying sipper, it has the presence to be paired with grilled chicken or seafood.",750 mL bottle,13%,"Veneto, Italy",Maculan Srl,4 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,"September 14, 2019",,
Follow the Hand Italia Chardonnay 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/follow-the-hand-italia-chardonnay-2016-519214,$22.00,/content/dam/lcbo/products/519214.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Full of apple, lemon and perhaps a little citrus. Perhaps a little uneven finish. Great present from a nice hostess at a Montalcino hotel. Sweet Memories.",750 mL bottle,13%,"Tuscany, Italy",Follow The Hand Italia Srls,,,,Chardonnay Blend,,,
Château-Fuissé Tête de Cuvée Pouilly-Fuissé 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ch%C3%A2teau-fuiss%C3%A9-t%C3%AAte-de-cuv%C3%A9e-pouilly-fuiss%C3%A9-2017-208546,$41.95,/content/dam/lcbo/products/208546.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"***LATE ARRIVAL. PRODUCT NOT CURRENTLY AVAILABLE.***A blend from over 40 parcels across the estate, this wine is generous and rich. A light touch of wood enhances the fruitiness and fresh acidity. Structured at the end, the wine is ready to drink [now through 2024+]. Score - 92. (Roger Voss, Wine Enthusiast, Oct. 1, 2019)",750 mL bottle,13.5%,"Burgundy, France",J.J. Vincent Et Fils,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"September 5, 2020",,
Joseph Drouhin Meursault 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/joseph-drouhin-meursault-2018-966432,$90.00,/content/dam/lcbo/products/966432.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The 2018 Meursault Village comes from five separate climats and is fermented in 18-20% new oak. It has quite a steely bouquet, reserved at first and opening reluctantly with aeration to reveal strong gunflint aromas. The palate is well balanced with tempting pineapple and white peach notes drawing you in. Perhaps a little Chassagne-like in terms of weight, and quite persistent on the mint-tinged finish. Very fine, but I bet you drink it too early. Drinking window: 2022-2032. Score - 89-91. (Neal Martin, vinous.com, Jan. 2020)",750 mL bottle,13%,"Burgundy, France",Joseph Drouhin S.A.,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"May 6, 2021",,
Mauritson Sauvignon Blanc Dry Creek Valley 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/mauritson-sauvignon-blanc-dry-creek-valley-2017-866350,$40.00,/content/dam/lcbo/products/866350.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Our Sauvignon Blanc is both classic in its freshness and nuanced in its aromas and flavours. Lemon-lime zest, yellow peach, white magnolia blossom, and traces of wet stone waft from the glass. The entry is bright and focused. On the palate, complex flavours of candied grapefruit and honeydew rind give way to a finish that is clean and soft with balanced acidity. Enjoy this wine with light appetizers, salads, seafood dishes or on its own on a warm summer evening.",750 mL bottle,14.1%,USA,Mauritson Wines,,,,Sauvignon Blanc,,,
Dorna Velha Branco 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/dorna-velha-branco-2017-556646,$13.45,/content/dam/lcbo/products/556646.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This extra-fruity white is from the Douro wine region, tucked into the mountains of northeastern Portugal. That terroir contributes to the fresh citrus notes and balanced acidity. Serve it with a light salad and fish dishes.",750 mL bottle,13%,"Douro, Portugal",Sociedade Da Casa Agricola Da,,,,Douro,,,
Nautilus Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/nautilus-chardonnay-2017-331652,$27.95,/content/dam/lcbo/products/331652.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A beautifully styled chardonnay, the inviting bouquet shows rockmelon, lemon peel, nougat, brioche and vanilla characters. The palate delivers excellent fruit concentration and weight, elegantly framed by fine texture and creamy mouthfeel, finishing persistent and engaging. Wonderfully balanced and harmonious with fabulous complexity. At its best: 2019 to 2024. Score - 94. (Sam Kim, wineorbit.co.nz, May 2018)",750 mL bottle,14%,"Marlborough, New Zealand",Negociants International,4 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"June 8, 2019",,
Château de Nages Vieilles Vignes Blanc 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ch%C3%A2teau-de-nages-vieilles-vignes-blanc-2017-479659,$19.95,/content/dam/lcbo/products/479659.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The 2017 Costieres de Nimes Blanc Vieilles Vignes offers hints of apricot and lime and a plump, custardy-lees richness on the palate. This blend of 45% Grenache Blanc, 25% Roussanne, 20% Viognier and 10% Clairette is medium to full-bodied, with plenty of concentration and length. It's hard to believe such a terrific white wine is available for under $20. Drink date: 2018-2020. Score - 92. (Joe Czerwinski, robertparker.com, Oct. 31, 2018)",750 mL bottle,13%,"Rhône, France",Michel Gassier,4 g/L,XD - Extra Dry,Full-bodied & Rich,White Blend,"November 23, 2019",,
Casa Monte Pío Albariño 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/casa-monte-p%C3%ADo-albari%C3%B1o-2016-629824,$14.25,/content/dam/lcbo/products/629824.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"100% Albariño. A zesty, fresh and clean medium-bodied wine with lustrous notes of quince, pear and mandarin.  Score - 89. (Decanter World Wine Awards, 2018)",750 mL bottle,12.6%,"Rias Baixas, Spain",Conejos De Angora Gallegos S.L,5 g/L,XD - Extra Dry,Aromatic & Flavourful,Alvarinho/Albariño,"May 25, 2019",,
Domaine Laroche Vieilles Vignes Les Vaillons Chablis 1er Cru 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-laroche-vieilles-vignes-les-vaillons-chablis-1er-cru-2018-991893,$39.95,/content/dam/lcbo/products/991893.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The 2018 Chablis Les Vaillons Vieilles Vignes 1er Cru is laced with lemon confit, citrus peel, almond, dried flowers and chamomile. Aromatic and light on its feet, the 2018 offers lovely near and medium-term appeal. This is such an attractive 1er Cru. Drinking window: 2020-2028. Score - 91. (Antonio Galloni, vinous.com, Jan. 2020)",750 mL bottle,13%,"Burgundy, France",Advini,3 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,"August 22, 2020",,
Henri Ehrhart Réserve Particulière Pinot Gris 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/henri-ehrhart-r%C3%A9serve-particuli%C3%A8re-pinot-gris-2017-392092,$18.95,/content/dam/lcbo/products/392092.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Elegant and balanced with layers of yellow apple, peach, pear and a touch of quince. A good choice for curried shrimp. (Vintages panel, Nov. 2018)[The Concours Général Paris did not include a tasting note.] Score - Gold. (Concours Général Paris, 2018)",750 mL bottle,12.5%,"Alsace, France",Ehrhart Ammerschwihr Sa,13 g/L,D - Dry,Light & Crisp,Pinot Gris,"November 23, 2019",,
Dereszla Dorombor Dry 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/dereszla-dorombor-dry-2015-258490,$15.00,/content/dam/lcbo/products/258490.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This fresh and delicate wine cuvee is made of of 55% Furmint, 30% Yellow Muscat and 15% Hárslevel grape varieties. The fruitiness is dominating in the nose, while the minerality along with the lively acidity typical for this vintage plays on the palate. A hint of residual sugar makes this wine smooth and appetizing. We recommend it for summer night discussions and relaxation, for white meats and fruit salads. Best served chilled.",750 mL bottle,12.5%,Hungary,Dereszla Kft,,,,Furmint,,,
Gehringer Brothers Private Reserve Pinot Gris 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/gehringer-brothers-private-reserve-pinot-gris-2017-347203,$19.95,/content/dam/lcbo/products/347203.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This wine offers notes of white peach, grapefruit, citrus and a delectable touch of honey. Dry and quite fresh, this zippy, intriguing wine is a fine palate-refresher, or match it to grilled calamari.[The Indy International Wine Competition did not include a tasting note.] Score - Gold. (Indy International Wine Competition, 2018)",750 mL bottle,13.2%,"British Columbia, Canada",Gehringer Bros Est Winery,8 g/L,D - Dry,Aromatic & Flavourful,Pinot Gris,"September 28, 2019",,
Hogue Gewürztraminer 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/hogue-gew%C3%BCrztraminer-2017-461137,$11.25,/content/dam/lcbo/products/461137.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made in stainless steel to maximize aromatic freshness, this is exuberantly floral with waves of rose petal along with lychee, lemon zest, honey and peach, with a dusting of sweet-and-savoury spices on the nicely balanced finish. A great value, it'll be fantastic with pulled-pork sandwiches.  (Vintages panel, Sept. 2018)",750 mL bottle,12.5%,"Washington, USA",Constellation Brands Inc. (Us),15 g/L,D - Dry,Aromatic & Flavourful,Gewurztraminer Blend,"June 22, 2019",,
Kettmeir Pinot Grigio 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/kettmeir-pinot-grigio-2017-644914,$16.75,/content/dam/lcbo/products/644914.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This PG was given five months on the lees to add extra dimension, which really shows in the texture. The nose is lightly floral and grassy with subtle lemon pith, apple and yellow plum, and the palate, while silkily elegant, has a bit more oomph than the delicate aromas might suggest. It all culminates in a tart, tangy finish that calls out for food. Sip with grilled chicken pasta in olive oil and a squeeze of lemon. (Vintages panel, April 2019)",750 mL bottle,13.3%,"Alto Adige-Trentino, Italy",S. Margherita S.P.A.,4 g/L,D - Dry,Light & Crisp,Pinot Grigio,"June 8, 2019",,
St. Hubertus Pinot Blanc 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/st-hubertus-pinot-blanc-2016-648899,$16.95,/content/dam/lcbo/products/648899.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Gold Medal winner at the 2018 National Wine Awards of Canada.As [this] wine shows, this variety delivers lots of fruit, with aromas and flavours of apples. The finish is crisp.  Score - 90. (John Schreiner, johnschreiner.blogspot.com, March 9, 2017)",750 mL bottle,12.7%,"British Columbia, Canada",St. Hubertus Estate Winery,8 g/L,D - Dry,Light & Crisp,Pinot Blanc,"June 8, 2019",,
Wieninger Wiener Gruner Kaasgraben 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wieninger-wiener-gruner-kaasgraben-2016-840561,$43.60,/content/dam/lcbo/products/840561.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,A vineyard high on the Nussberg hill gives this hugely concentrated wine perfumed flavours of ripe plums to go with its touch of pink grapefruit. Well structured and outstanding.,750 mL bottle,13.5%,Austria,Weingut Wieninger,,,,Grüner Veltliner,,,
La Croix Montjoie L'Impatiente Vézelay 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/la-croix-montjoie-limpatiente-v%C3%A9zelay-2016-596626,$34.85,/content/dam/lcbo/products/596626.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From 25 year old vines grown on clay/limestone soil, 9 months' vinification, 100% in stainless steel tanks. Pale gold, fresh and zesty nose of citrus and white flowers, very refreshing with a zippy character throughout. Best as an apéritif or with simple dishes, works very well with seafood or mixed charcuterie and goat cheeses, age for 3 years max to best capture its youthful and impatient character.",750 mL bottle,12.5%,France,Domaine La Croix Montjoie,,,,Chardonnay,,,
Monte Velho White 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/monte-velho-white-2017-858803,$7.75,/content/dam/lcbo/products/858803.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This balanced Portuguese white is a shining example of wines from the hot, dry south-central and southern regions of Alentejo. Its growing conditions create full-bodied flavours and a rich, smooth finish. The crisp citrus notes complement grilled fish and seafood.",375 mL bottle,14.5%,"Alentejo, Portugal",Esporao Vendas E Marketing S.A,,,,Antão Vaz Blend,,,
McMichael Collection Tom Thomson Barrel-Aged Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/mcmichael-collection-tom-thomson-barrel-aged-chardonnay-2017-649970,$14.75,/content/dam/lcbo/products/649970.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Featuring label artwork from the McMichael Collection and bottled exclusively for Vintages just in time for Canada Day 2019, this creamy, mouthfilling barrel-aged Chardonnay is a work of art unto itself, with rich notions of butter, vanilla and caramel underscored by crisp apple, citrus and pear. A great choice for pork chops, preferably cooked over a wood fire. (Vintages panel, Oct. 2018)",750 mL bottle,13%,"Ontario, Canada",Diamond Estates,7 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"June 22, 2019",,
Collavini T Friulano 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/collavini-t-friulano-2017-631622,$16.95,/content/dam/lcbo/products/631622.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Quite a developed dry white with pronounced lemon-curd character on the nose. Serious depth and some structure, which are well balanced by lemony freshness at the finish. With more complexity this would rate higher. Drink now. Score - 90. (James Suckling, jamessuckling.com, Nov. 25, 2018)",750 mL bottle,12.9%,"Friuli, Italy",Eugenio Collavini Viticoltori S.R.L,2 g/L,XD - Extra Dry,Light & Crisp,Friulano,"June 22, 2019",,
Domaine Ponsot Corton Charlemagne Grand Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-ponsot-corton-charlemagne-grand-cru-2017-688721,$490.00,/content/dam/lcbo/products/688721.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"As good a rendition of this cuvée as I can remember tasting, the 2017 Corton-Charlemagne Grand Cru is superb, unfurling in the glass with aromas of beeswax, white flowers, crisp yellow orchard fruit and wet stones, with nuances of nutmeg and fresh apricot emerging as it sits in the glass. On the palate, the wine is full-bodied, satiny and incisive, with a concentrated core, succulent acids and a wonderful sense of energy and tension that balances its comparatively broad shoulders. It's produced from two parcels in Aloxe-Corton, one warmer and the other cooler. Score - 94-96. (William Kelley, robertparker.com, Jan. 4, 2019)",750 mL bottle,13.5%,"Burgundy, France",Domaine Ponsot Sarl,,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"July 16, 2020",,
Domaine Ponsot Cuvée de la Mesange Saint-Romain 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-ponsot-cuv%C3%A9e-de-la-mesange-saint-romain-2017-688697,$103.00,/content/dam/lcbo/products/688697.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,750 mL bottle,13.5%,"Burgundy, France",Domaine Ponsot Sarl,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,,,
Bott Geyl Riesling GC Schoenenbourg 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/bott-geyl-riesling-gc-schoenenbourg-2014-548817,$85.35,/content/dam/lcbo/products/548817.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Crisp green apples on the nose, with grapefruit rind savouriness. Honey, marmalade and spice on the palate with an intense finish. An organic and biodynamic producer.",750 mL bottle,13%,"Alsace, France",That's Life Gourmet Ltd,,,,Riesling,,,
Aveleda Loureiro 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/aveleda-loureiro-2017-646067,$13.95,/content/dam/lcbo/products/646067.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The 2017 Loureiro Colheita Selecionada comes in with eight grams of sugar and 11.5% alcohol and no fizz. Sourced from a mixture of subregions, this is another stunning value from Aveleda this issue. No one cries for Goliath, but it is easy to forget how good the Aveleda wines can be for such modest money. The sugar is completely balanced by the acidity here. There's a hint of off-dry but no more than that. It shows good concentration, especially for this level, a fine, tense finish, and a tinge of lime on that finish. I personally preferred this to the regular Estate Branco this issue, but they are close and reasonable minds might differ. Typically, what Aveleda makes also ages very well. They won't necessarily blossom and improve dramatically, but I won't be surprised if this is still fine and still at peak five years from now. It will be great this summer too. Drink Date: 2018-2024.  Score - 90. (Mark Squires, robertparker.com, June 29, 2018)",750 mL bottle,11.4%,"Douro, Portugal",Sociedade Agricola E. Comercial,7 g/L,D - Dry,Light & Crisp,Vinho Verde,"July 20, 2019",,
Domaine Jean-Louis Chave Hermitage Blanc 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-jean-louis-chave-hermitage-blanc-2017-387274,$318.00,/content/dam/lcbo/products/387274.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"In the end, I'm unable to definitely say that the 2017 Hermitage Blanc is better than the stupendous 2016. Of course, I sampled it just three days after it was bottled, so I've appended the + to my rating, as there's a possibility the wine may have been affected by that process. It's gently toasty but dominated at this stage by forward melon and pineapple fruit. Full-bodied and incredibly rich yet balanced, it unfolds in waves of flavor and texture, lingering for what seems like minutes on the finish. Hit it soon to enjoy its youthful opulence, or put it aside for 10-12 years. Drink date: 2020-2040. Score - 98+. (Joe Czerwinski, robertparker.com, Dec. 19, 2019)",750 mL bottle,13.5%,"Rhône, France",Jean-Louis Chave,4 g/L,XD - Extra Dry,Full-bodied & Rich,Marsanne Blend,"March 18, 2021",,
Tenuta Roveglia Vigne di Catullo Lugana Riserva 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/tenuta-roveglia-vigne-di-catullo-lugana-riserva-2014-437004,$26.95,/content/dam/lcbo/products/437004.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"100% Trebbiano di Lugana. Complex and multi-layered on the nose with honey, caramel, ginger, peaches and white flowers. Rich and round, sustained by crisp freshness with dry herbs and fennel seed notes. A great wine!  Score - 96. (Decanter World Wine Awards, 2018)",750 mL bottle,12%,"Lombardy, Italy",Tenuta Roveglia Zweifel-Azzone Snc,8 g/L,D - Dry,Full-bodied & Rich,Trebbiano,"August 3, 2019",,
Esk Valley Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/esk-valley-chardonnay-2017-149997,$24.95,/content/dam/lcbo/products/149997.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A neat chardonnay with compact texture and some richer flavors. Aromas of peaches and almond nougat lead to a palate that tastes of buttered popcorn, then turns warm and takes on a hazelnut flavor through the finish. Drink now. Score - 90. (James Suckling, jamessuckling.com, Oct. 8, 2018)",750 mL bottle,13%,"Hawke's Bay, New Zealand",Villa Maria Estates Ltd.,4 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"July 18, 2019",,
Pierpaolo Pecorari Pinot Grigio Friuli 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/pierpaolo-pecorari-pinot-grigio-friuli-2018-895291,$27.60,/content/dam/lcbo/products/895291.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromas of golden apple, pineapple, alps hay, cherry blossom. Elegant & fresh on the palate, full body, with bright acidity. Fruity & stony minerality. Serve with fish dishes, crustaceans and seafood, pasta dishes, white meat.",750 mL bottle,12.5%,"Friuli, Italy",Uab Vsf International Consulting +,,,,Pinot Grigio,,,
Albert Bichot Domaine Long-Depaquit Les Clos Chablis Grand Cru 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/albert-bichot-domaine-long-depaquit-les-clos-chablis-grand-cru-2018-10184,$110.00,/content/dam/lcbo/products/010184.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Beautiful subtlety on this wine's nose recalls smoky lemon, citrus pith and molten candlewax. The palate also holds these notions, bolstering that lemony waxiness with thick, layered chalkiness and pithy, mouthwatering freshness. This is concentated and bold, offering energy and drive, with a contradictory heat emanating from a cool core. A compelling wine, it needs to calm down a little. Drink date: 2025-2040. Score - 97. (Anne Krebiehl, MW, Wine Enthusiast, Dec. 31, 2020)",750 mL bottle,13%,"Burgundy, France",Maison Albert Bichot,2 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,"May 6, 2021",,
Domaine Bouchard Père & Fils Genevrières Meursault 1er Cru 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-bouchard-p%C3%A8re-fils-genevri%C3%A8res-meursault-1er-cru-2016-87049,$129.00,/content/dam/lcbo/products/087049.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Residual SO2 is sufficient to dominate the nose today. Marvelously energetic and intensely mineral-driven flavors also possess excellent cut that characterizes the bitter lemon and saline-inflected finish that delivers seriously fine length. This chiseled effort is almost Chablis-like and will require at least a few years of bottle age first. Sweet spot, Outstanding. Drink 2024+. Score - 93. (Allen Meadows, burghound.com, June 15, 2015)",750 mL bottle,13.5%,"Burgundy, France",Bouchard Pere & Fils,3 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"September 5, 2019",,
Heymann-Löwenstein Röttgen GG Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/heymann-l%C3%B6wenstein-r%C3%B6ttgen-gg-riesling-666370,$60.00,/content/dam/lcbo/products/666370.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,750 mL bottle,12%,"Mosel, Germany",Weingut Heymann-Lowenstien,8 g/L,,Aromatic & Flavourful,Riesling,,,
Peter Zemmer Giatl Riserva Pinot Grigio 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/peter-zemmer-giatl-riserva-pinot-grigio-2016-11605,$43.00,/content/dam/lcbo/products/011605.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The oak-aged 2016 Alto Adige Pinot Grigio Riserva Giatl is a medium to full-bodied white wine with nuances of summer peach, Golden Delicious apple and lemon mousse. That chorus of yellow fruit flavors is really very beautiful. The wine wraps thickly over the palate with a rich texture and creamy disposition followed by breezy acidity. Some 11,000 bottles were produced. Drink Date: 2018-2024. Score - 92+. (Monica Larner, robertparker.com, Aug. 31, 2018)",750 mL bottle,14.5%,"Alto Adige, Italy",Peter Zemmer,2 g/L,XD - Extra Dry,Aromatic & Flavourful,Pinot Grigio,"October 3, 2019",,
De Wetshof Bataleur Chardonnay 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/de-wetshof-bataleur-chardonnay-2016-10012,$59.95,/content/dam/lcbo/products/010012.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Gravel soils rich in limestone and clay produce a Chardonnay of supreme elegance and florality. Pear drop and citrus elements on the nose lead to controlled richness on the palate whose classy, harmonious finish assures a great future. Drinking Window: 2019-2026. Score - 95. (Steven Spurrier, decanter.com, Undated)",750 mL bottle,14%,"Robertson, South Africa",De Wetshof Estate,2 g/L,XD - Extra Dry,,Chardonnay,"July 18, 2019",,
Doudet Naudin Vin de France Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/-doudet-naudin-vin-de-france-chardonnay-2017-250687,$16.20,/content/dam/lcbo/products/250687.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromatic, fine, and well-balanced wine with its light golden colour with some green highlights. Nuances and taste of linden-tree, mango, peach and some citrus. In the mouth the wine is very charming, thanks to its freshness and its fruity aromas.",750 mL bottle,12.5%,"Burgundy, France",Doudet Naudin + Cie Sasdev,,,,Chardonnay,,,
Anthosmias White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/anthosmias-white-336957,$18.30,/content/dam/lcbo/products/336957.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"An excellent medium sweet rose wine. Light rose in colour, with crisp and refreshing intense flower, fruit, and honey flavours. A good firm structure with a long luxurious finish.",750 mL bottle,13%,Greece,G. Tsimpidis And Co. Monemvasia Win,,,,Moschofilero,,,
Estate Argyros Vinsanto 4 Year 2011,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/estate-argyros-vinsanto-4-year-2011-300219,$70.90,/content/dam/lcbo/products/300219.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The wine has a copper-amber colour and on the nose strong and complex aromas of chocolate, honey, roasted coffee grains, dried fruits and dried nuts. On the palate the wine is full bodied, buttery, well structured & balanced, with sweetness and acidity in harmony, it has a fine and long finish.",500 mL bottle,13.5%,"Santorini, Greece",Estate I. & M. Argyros O.E.,,,,White - Sweet,,,
Charles Heintz Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/charles-heintz-chardonnay-2017-535541,$126.05,/content/dam/lcbo/products/535541.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,White flowers reach out of the glass like jasmine and the palate is a smooth yet rich expression of tropical and mineral flavours. The weight and texture of this wine is gracefully balanced by the acidity and what feels like a never-ending finish.,750 mL bottle,14.5%,"California, USA",Senses Wines,,,,Chardonnay,,,
Kir Yianni Assyrtiko 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/kir-yianni-assyrtiko-2018-294099,$21.40,/content/dam/lcbo/products/294099.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made with 100% Assyrtiko, this wine is intense, with refreshing acidity and firm structure. Serve with fish fillet (roasted or poached), fried cod, oven-roasted stuffed squid, pasta in white sauce, white cheeses.",750 mL bottle,13.5%,"Macedonia, Greece",Kir-Yianni S.A.,,,,Assyrtiko,,,
